timestamp,open,high,low,close,volume,datetime
1777717980000,0.000979,0.0009808,0.0009717,0.0009742,52242032.0,2026-05-02 10:33:00
1777718040000,0.0009743,0.0009853,0.0009743,0.0009837,52351897.0,2026-05-02 10:34:00
1777718100000,0.0009834,0.0009845,0.0009803,0.0009812,29083516.0,2026-05-02 10:35:00
1777718160000,0.0009812,0.000987,0.0009804,0.0009832,34640321.0,2026-05-02 10:36:00
1777718220000,0.0009828,0.0009854,0.0009828,0.0009831,19063188.0,2026-05-02 10:37:00
1777718280000,0.0009834,0.0009875,0.0009818,0.000984,53408657.0,2026-05-02 10:38:00
1777718340000,0.0009831,0.0009831,0.0009721,0.000974,60641007.0,2026-05-02 10:39:00
1777718400000,0.0009745,0.0009756,0.0009706,0.0009735,50078591.0,2026-05-02 10:40:00
1777718460000,0.0009734,0.000976,0.0009648,0.0009742,70855829.0,2026-05-02 10:41:00
1777718520000,0.0009745,0.0009761,0.0009687,0.0009732,75651609.0,2026-05-02 10:42:00
1777718580000,0.0009724,0.0009769,0.0009703,0.0009752,31791964.0,2026-05-02 10:43:00
1777718640000,0.0009749,0.0009849,0.0009749,0.0009818,57261770.0,2026-05-02 10:44:00
1777718700000,0.0009815,0.0009842,0.0009757,0.0009836,46831016.0,2026-05-02 10:45:00
1777718760000,0.0009834,0.0009869,0.0009815,0.0009853,63340452.0,2026-05-02 10:46:00
1777718820000,0.0009852,0.000988,0.0009817,0.0009874,66252949.0,2026-05-02 10:47:00
1777718880000,0.0009874,0.00099,0.0009801,0.0009838,97565185.0,2026-05-02 10:48:00
1777718940000,0.0009842,0.0009944,0.0009842,0.000993,138212577.0,2026-05-02 10:49:00
1777719000000,0.0009937,0.0009999,0.000993,0.0009974,179685459.0,2026-05-02 10:50:00
1777719060000,0.0009974,0.0009999,0.0009966,0.0009977,142174439.0,2026-05-02 10:51:00
1777719120000,0.0009972,0.0009994,0.00099,0.0009926,167735764.0,2026-05-02 10:52:00
1777719180000,0.0009922,0.0009939,0.0009806,0.0009877,189299951.0,2026-05-02 10:53:00
1777719240000,0.0009872,0.0009952,0.000986,0.0009933,77755550.0,2026-05-02 10:54:00
1777719300000,0.0009931,0.0009938,0.000986,0.0009877,96663642.0,2026-05-02 10:55:00
1777719360000,0.0009871,0.0009912,0.000985,0.0009891,65049558.0,2026-05-02 10:56:00
1777719420000,0.0009895,0.0009902,0.0009803,0.0009859,83601948.0,2026-05-02 10:57:00
1777719480000,0.0009853,0.0009874,0.0009705,0.0009744,118445299.0,2026-05-02 10:58:00
1777719540000,0.0009744,0.0009753,0.0009575,0.000963,248368463.0,2026-05-02 10:59:00
1777719600000,0.0009635,0.0009726,0.000962,0.0009622,108602190.0,2026-05-02 11:00:00
1777719660000,0.0009622,0.0009744,0.0009622,0.000969,85114844.0,2026-05-02 11:01:00
1777719720000,0.0009697,0.0009947,0.0009694,0.0009938,162959595.0,2026-05-02 11:02:00
1777719780000,0.0009942,0.0009967,0.0009874,0.0009899,135496575.0,2026-05-02 11:03:00
1777719840000,0.0009907,0.0009907,0.0009787,0.0009813,83496826.0,2026-05-02 11:04:00
1777719900000,0.0009815,0.0009891,0.0009784,0.0009815,58767760.0,2026-05-02 11:05:00
1777719960000,0.0009815,0.0009825,0.0009728,0.0009802,75491201.0,2026-05-02 11:06:00
1777720020000,0.0009807,0.0009887,0.0009775,0.0009881,44522570.0,2026-05-02 11:07:00
1777720080000,0.0009883,0.0009971,0.0009881,0.0009959,141697233.0,2026-05-02 11:08:00
1777720140000,0.0009964,0.0009985,0.0009932,0.0009944,98904873.0,2026-05-02 11:09:00
1777720200000,0.0009942,0.0009948,0.0009832,0.0009875,76843625.0,2026-05-02 11:10:00
1777720260000,0.0009881,0.000995,0.0009865,0.000992,76641364.0,2026-05-02 11:11:00
1777720320000,0.0009915,0.000995,0.0009871,0.0009876,39004646.0,2026-05-02 11:12:00
1777720380000,0.0009883,0.0009894,0.0009812,0.0009829,64730711.0,2026-05-02 11:13:00
1777720440000,0.0009831,0.0009841,0.0009769,0.0009778,66620513.0,2026-05-02 11:14:00
1777720500000,0.0009771,0.0009813,0.0009742,0.0009808,75846351.0,2026-05-02 11:15:00
1777720560000,0.0009807,0.0009809,0.0009651,0.0009741,127975327.0,2026-05-02 11:16:00
1777720620000,0.0009742,0.0009926,0.0009711,0.0009831,116632342.0,2026-05-02 11:17:00
1777720680000,0.0009831,0.0009845,0.0009777,0.0009835,51479831.0,2026-05-02 11:18:00
1777720740000,0.0009832,0.0009872,0.0009801,0.0009827,43303256.0,2026-05-02 11:19:00
1777720800000,0.000982,0.0009846,0.000979,0.0009818,28373460.0,2026-05-02 11:20:00
1777720860000,0.0009815,0.000988,0.0009802,0.0009874,47043429.0,2026-05-02 11:21:00
1777720920000,0.0009879,0.0009924,0.0009856,0.0009889,54415447.0,2026-05-02 11:22:00
1777720980000,0.0009887,0.000993,0.0009859,0.0009908,66206101.0,2026-05-02 11:23:00
1777721040000,0.0009913,0.0009928,0.0009883,0.0009901,29025089.0,2026-05-02 11:24:00
1777721100000,0.0009899,0.0009956,0.0009879,0.0009912,79993934.0,2026-05-02 11:25:00
1777721160000,0.0009912,0.0009948,0.0009898,0.0009942,32070608.0,2026-05-02 11:26:00
1777721220000,0.0009942,0.0009967,0.0009864,0.0009887,97522081.0,2026-05-02 11:27:00
1777721280000,0.0009887,0.0009936,0.0009841,0.0009851,60324039.0,2026-05-02 11:28:00
1777721340000,0.0009847,0.000989,0.0009844,0.0009844,36707314.0,2026-05-02 11:29:00
1777721400000,0.0009842,0.0009842,0.0009776,0.0009796,62789226.0,2026-05-02 11:30:00
1777721460000,0.000979,0.0009922,0.0009777,0.0009922,67487840.0,2026-05-02 11:31:00
1777721520000,0.0009918,0.0009968,0.0009887,0.0009956,71119163.0,2026-05-02 11:32:00
1777721580000,0.0009955,0.000996,0.0009907,0.0009909,69182583.0,2026-05-02 11:33:00
1777721640000,0.0009916,0.0009948,0.0009901,0.0009916,25120461.0,2026-05-02 11:34:00
1777721700000,0.0009914,0.0009947,0.0009875,0.0009891,54348977.0,2026-05-02 11:35:00
1777721760000,0.0009894,0.0010136,0.0009894,0.0010058,477345757.0,2026-05-02 11:36:00
1777721820000,0.0010059,0.0010189,0.001002,0.0010162,223262532.0,2026-05-02 11:37:00
1777721880000,0.0010162,0.0010184,0.0010108,0.0010108,121924328.0,2026-05-02 11:38:00
