🔍 APEX HUNTER TP/SL VERIFICATION REPORT - 2026-04-22 19:36:26
====================================================================================================
SYMBOL               | SIDE  | STATUS   | PNL % (ROE)  | EXCEEDS 5%?
PYTH/USDT:USDT       | buy   | CLOSED   |       5.00% | ✅ No
MOODENG/USDT:USDT    | buy   | CLOSED   |      10.91% | ✅ No
GOAT/USDT:USDT       | buy   | CLOSED   |      -5.72% | ⚠️ YES
AKE/USDT:USDT        | buy   | CLOSED   |     -14.37% | ⚠️ YES
SHELL/USDT:USDT      | buy   | CLOSED   |     -15.57% | ⚠️ YES
TST/USDT:USDT        | buy   | CLOSED   |       8.96% | ✅ No
SSV/USDT:USDT        | buy   | CLOSED   |     -14.79% | ⚠️ YES
RIVER/USDT:USDT      | buy   | CLOSED   |     -13.00% | ⚠️ YES
ARIA/USDT:USDT       | buy   | CLOSED   |       2.91% | ✅ No
XRP/USDT:USDT        | buy   | CLOSED   |     -14.96% | ⚠️ YES
FIGHT/USDT:USDT      | buy   | CLOSED   |     -16.22% | ⚠️ YES
PUMPBTC/USDT:USDT    | buy   | CLOSED   |     -13.62% | ⚠️ YES
ON/USDT:USDT         | buy   | CLOSED   |       4.84% | ✅ No
BLESS/USDT:USDT      | buy   | CLOSED   |      19.40% | ✅ No
AIXBT/USDT:USDT      | buy   | CLOSED   |     -13.78% | ⚠️ YES
VINE/USDT:USDT       | buy   | CLOSED   |      -5.92% | ⚠️ YES
DASH/USDT:USDT       | buy   | CLOSED   |      -7.52% | ⚠️ YES
FET/USDT:USDT        | buy   | CLOSED   |     -15.65% | ⚠️ YES
ID/USDT:USDT         | buy   | CLOSED   |     -20.90% | ⚠️ YES
XAN/USDT:USDT        | buy   | CLOSED   |     -26.07% | ⚠️ YES
LUMIA/USDT:USDT      | buy   | CLOSED   |     -13.72% | ⚠️ YES
BR/USDT:USDT         | buy   | CLOSED   |      -1.90% | ✅ No
SUSHI/USDT:USDT      | buy   | CLOSED   |     -14.86% | ⚠️ YES
NEIRO/USDT:USDT      | buy   | CLOSED   |     -13.71% | ⚠️ YES
BOME/USDT:USDT       | buy   | CLOSED   |     -13.05% | ⚠️ YES
MOVE/USDT:USDT       | buy   | CLOSED   |       2.13% | ✅ No
PIPPIN/USDT:USDT     | buy   | CLOSED   |      -5.51% | ⚠️ YES
RUNE/USDT:USDT       | buy   | CLOSED   |       5.65% | ✅ No
BB/USDT:USDT         | buy   | CLOSED   |      -6.12% | ⚠️ YES
EUL/USDT:USDT        | buy   | CLOSED   |     -20.30% | ⚠️ YES
币安人生/USDT:USDT       | buy   | CLOSED   |     -18.65% | ⚠️ YES
COOKIE/USDT:USDT     | buy   | CLOSED   |       3.51% | ✅ No
AVNT/USDT:USDT       | buy   | CLOSED   |      26.41% | ✅ No
BNB/USDT:USDT        | buy   | CLOSED   |       1.17% | ✅ No
AIN/USDT:USDT        | buy   | CLOSED   |     -15.30% | ⚠️ YES
SKYAI/USDT:USDT      | buy   | CLOSED   |      -3.99% | ✅ No
GRASS/USDT:USDT      | buy   | CLOSED   |       3.18% | ✅ No
OP/USDT:USDT         | buy   | CLOSED   |     -14.07% | ⚠️ YES
FORM/USDT:USDT       | buy   | CLOSED   |      -6.52% | ⚠️ YES
AVA/USDT:USDT        | buy   | CLOSED   |       3.13% | ✅ No
AIOT/USDT:USDT       | buy   | CLOSED   |      -2.05% | ✅ No
DAM/USDT:USDT        | buy   | CLOSED   |      -6.37% | ⚠️ YES
AI/USDT:USDT         | buy   | OPEN     |     -13.28% | ⚠️ YES
SPACE/USDT:USDT      | buy   | CLOSED   |       7.87% | ✅ No
CELR/USDT:USDT       | buy   | CLOSED   |     -17.88% | ⚠️ YES
GOAT/USDT:USDT       | buy   | CLOSED   |      11.94% | ✅ No
B/USDT:USDT          | buy   | CLOSED   |       0.00% | ✅ No
ME/USDT:USDT         | buy   | CLOSED   |       3.66% | ✅ No
EDU/USDT:USDT        | buy   | CLOSED   |      12.75% | ✅ No
我踏马来了/USDT:USDT      | buy   | CLOSED   |     -13.73% | ⚠️ YES
AERO/USDT:USDT       | buy   | CLOSED   |       3.44% | ✅ No
CHZ/USDT:USDT        | buy   | CLOSED   |       5.41% | ✅ No
USUAL/USDT:USDT      | buy   | CLOSED   |       5.38% | ✅ No
W/USDT:USDT          | buy   | CLOSED   |       6.86% | ✅ No
KAS/USDT:USDT        | buy   | CLOSED   |       7.79% | ✅ No
LIGHT/USDT:USDT      | buy   | CLOSED   |     -14.17% | ⚠️ YES
JST/USDT:USDT        | buy   | CLOSED   |       4.60% | ✅ No
ZEREBRO/USDT:USDT    | buy   | CLOSED   |      -2.16% | ✅ No
XPIN/USDT:USDT       | buy   | CLOSED   |       5.83% | ✅ No
COMP/USDT:USDT       | buy   | CLOSED   |      -6.44% | ⚠️ YES
CROSS/USDT:USDT      | sell  | CLOSED   |      -8.20% | ⚠️ YES
PHA/USDT:USDT        | buy   | CLOSED   |       4.62% | ✅ No
COLLECT/USDT:USDT    | sell  | CLOSED   |      -5.24% | ⚠️ YES
CYS/USDT:USDT        | sell  | CLOSED   |      14.05% | ✅ No
ENA/USDT:USDT        | sell  | CLOSED   |       3.56% | ✅ No
LISTA/USDT:USDT      | buy   | CLOSED   |      -4.77% | ✅ No
BEAT/USDT:USDT       | sell  | CLOSED   |      24.29% | ✅ No
IMX/USDT:USDT        | buy   | CLOSED   |       1.67% | ✅ No
IR/USDT:USDT         | buy   | CLOSED   |      12.78% | ✅ No
SPK/USDT:USDT        | buy   | CLOSED   |       3.69% | ✅ No
TRU/USDT:USDT        | buy   | CLOSED   |      -1.38% | ✅ No
BLUR/USDT:USDT       | buy   | CLOSED   |      14.94% | ✅ No
XNY/USDT:USDT        | buy   | CLOSED   |       6.30% | ✅ No
ACU/USDT:USDT        | buy   | CLOSED   |     -13.25% | ⚠️ YES
AR/USDT:USDT         | buy   | CLOSED   |       0.96% | ✅ No
C98/USDT:USDT        | buy   | CLOSED   |       4.11% | ✅ No
CHR/USDT:USDT        | buy   | CLOSED   |       3.33% | ✅ No
FORM/USDT:USDT       | buy   | CLOSED   |       7.27% | ✅ No
NFP/USDT:USDT        | buy   | CLOSED   |      -5.26% | ⚠️ YES
UMA/USDT:USDT        | buy   | OPEN     |      -1.02% | ✅ No
CYS/USDT:USDT        | buy   | CLOSED   |       2.23% | ✅ No
MOVR/USDT:USDT       | buy   | CLOSED   |     -12.49% | ⚠️ YES
M/USDT:USDT          | sell  | CLOSED   |      -6.54% | ⚠️ YES
BOME/USDT:USDT       | buy   | CLOSED   |     -16.56% | ⚠️ YES
NEIRO/USDT:USDT      | buy   | CLOSED   |      25.20% | ✅ No
DEXE/USDT:USDT       | buy   | CLOSED   |      -3.27% | ✅ No
PARTI/USDT:USDT      | buy   | CLOSED   |       3.68% | ✅ No
BCH/USDT:USDT        | buy   | CLOSED   |       4.74% | ✅ No
AVA/USDT:USDT        | buy   | CLOSED   |     -13.59% | ⚠️ YES
BEAT/USDT:USDT       | buy   | CLOSED   |     -15.88% | ⚠️ YES
ARIA/USDT:USDT       | sell  | CLOSED   |     -15.37% | ⚠️ YES
INX/USDT:USDT        | buy   | CLOSED   |      11.42% | ✅ No
GUA/USDT:USDT        | buy   | CLOSED   |      -4.58% | ✅ No
FIGHT/USDT:USDT      | buy   | CLOSED   |     -14.60% | ⚠️ YES
TRU/USDT:USDT        | buy   | CLOSED   |      -1.38% | ✅ No
BULLA/USDT:USDT      | buy   | CLOSED   |     -12.82% | ⚠️ YES
FHE/USDT:USDT        | buy   | CLOSED   |     -10.15% | ⚠️ YES
LISTA/USDT:USDT      | sell  | CLOSED   |       9.64% | ✅ No
LQTY/USDT:USDT       | sell  | OPEN     |      -6.62% | ⚠️ YES
ORDI/USDT:USDT       | sell  | CLOSED   |      11.78% | ✅ No
BEAT/USDT:USDT       | sell  | CLOSED   |      -7.45% | ⚠️ YES
THETA/USDT:USDT      | sell  | CLOSED   |       7.81% | ✅ No
NAORIS/USDT:USDT     | sell  | CLOSED   |      10.86% | ✅ No
SKYAI/USDT:USDT      | sell  | CLOSED   |      -5.04% | ⚠️ YES
PLUME/USDT:USDT      | buy   | CLOSED   |      10.51% | ✅ No
SOL/USDT:USDT        | buy   | CLOSED   |       4.49% | ✅ No
1000000MOG/USDT:USDT | buy   | CLOSED   |       7.78% | ✅ No
FLOCK/USDT:USDT      | buy   | CLOSED   |       4.72% | ✅ No
APE/USDT:USDT        | buy   | CLOSED   |     -15.19% | ⚠️ YES
MON/USDT:USDT        | buy   | CLOSED   |       5.59% | ✅ No
CETUS/USDT:USDT      | buy   | CLOSED   |       1.57% | ✅ No
AEVO/USDT:USDT       | buy   | OPEN     |      -5.36% | ⚠️ YES
H/USDT:USDT          | buy   | CLOSED   |     -13.79% | ⚠️ YES
GOAT/USDT:USDT       | buy   | CLOSED   |     -13.85% | ⚠️ YES
B/USDT:USDT          | buy   | CLOSED   |       7.23% | ✅ No
BTC/USDT:USDT        | buy   | CLOSED   |       4.32% | ✅ No
ARB/USDT:USDT        | buy   | CLOSED   |      18.69% | ✅ No
ONE/USDT:USDT        | buy   | CLOSED   |       3.06% | ✅ No
LDO/USDT:USDT        | buy   | CLOSED   |       3.34% | ✅ No
IMX/USDT:USDT        | buy   | CLOSED   |       1.11% | ✅ No
LAB/USDT:USDT        | buy   | CLOSED   |     -12.80% | ⚠️ YES
TRADOOR/USDT:USDT    | buy   | CLOSED   |      41.55% | ✅ No
EDU/USDT:USDT        | sell  | CLOSED   |       1.86% | ✅ No
FET/USDT:USDT        | buy   | CLOSED   |       3.26% | ✅ No
Q/USDT:USDT          | buy   | CLOSED   |       8.98% | ✅ No
ORDI/USDT:USDT       | sell  | CLOSED   |      -8.43% | ⚠️ YES
BB/USDT:USDT         | buy   | CLOSED   |       9.93% | ✅ No
DOGE/USDT:USDT       | buy   | CLOSED   |       4.63% | ✅ No
MET/USDT:USDT        | buy   | CLOSED   |       6.98% | ✅ No
1000CAT/USDT:USDT    | buy   | CLOSED   |      15.78% | ✅ No
PROVE/USDT:USDT      | buy   | CLOSED   |       3.14% | ✅ No
KMNO/USDT:USDT       | buy   | CLOSED   |       0.49% | ✅ No
W/USDT:USDT          | buy   | CLOSED   |       7.63% | ✅ No
RIVER/USDT:USDT      | buy   | CLOSED   |      10.68% | ✅ No
ZEREBRO/USDT:USDT    | buy   | CLOSED   |       1.06% | ✅ No
XPIN/USDT:USDT       | buy   | CLOSED   |     -14.59% | ⚠️ YES
CYS/USDT:USDT        | buy   | CLOSED   |       8.36% | ✅ No
ON/USDT:USDT         | buy   | CLOSED   |       9.29% | ✅ No
SXT/USDT:USDT        | buy   | CLOSED   |       0.57% | ✅ No
CTSI/USDT:USDT       | buy   | CLOSED   |      -2.94% | ✅ No
FORM/USDT:USDT       | buy   | CLOSED   |     -15.42% | ⚠️ YES
SOON/USDT:USDT       | sell  | CLOSED   |      -5.40% | ⚠️ YES
RIVER/USDT:USDT      | buy   | CLOSED   |      10.47% | ✅ No
Q/USDT:USDT          | buy   | CLOSED   |      10.75% | ✅ No
RUNE/USDT:USDT       | buy   | CLOSED   |       2.37% | ✅ No
1000CHEEMS/USDT:USDT | buy   | CLOSED   |     -14.65% | ⚠️ YES
FIS/USDT:USDT        | buy   | CLOSED   |      -0.53% | ✅ No
AVAAI/USDT:USDT      | buy   | CLOSED   |     -16.59% | ⚠️ YES
MAGMA/USDT:USDT      | buy   | CLOSED   |      21.39% | ✅ No
SHELL/USDT:USDT      | sell  | CLOSED   |       9.10% | ✅ No
FLUID/USDT:USDT      | buy   | CLOSED   |      -4.52% | ✅ No
BEAT/USDT:USDT       | buy   | CLOSED   |       1.76% | ✅ No
SAFE/USDT:USDT       | buy   | OPEN     |      -6.86% | ⚠️ YES
JTO/USDT:USDT        | buy   | OPEN     |     -14.12% | ⚠️ YES
BLUR/USDT:USDT       | buy   | CLOSED   |      -0.30% | ✅ No
TAC/USDT:USDT        | buy   | CLOSED   |      11.13% | ✅ No
DEXE/USDT:USDT       | buy   | CLOSED   |     -14.79% | ⚠️ YES
SPACE/USDT:USDT      | buy   | CLOSED   |     -14.10% | ⚠️ YES
TAC/USDT:USDT        | buy   | CLOSED   |      -4.85% | ✅ No
TAKE/USDT:USDT       | buy   | CLOSED   |      62.71% | ✅ No
TRADOOR/USDT:USDT    | buy   | CLOSED   |     -13.53% | ⚠️ YES
CYS/USDT:USDT        | buy   | CLOSED   |     -13.89% | ⚠️ YES
BTR/USDT:USDT        | sell  | CLOSED   |      -7.22% | ⚠️ YES
GUA/USDT:USDT        | buy   | CLOSED   |       9.64% | ✅ No
BIRB/USDT:USDT       | sell  | CLOSED   |       0.98% | ✅ No
币安人生/USDT:USDT       | buy   | CLOSED   |     -14.53% | ⚠️ YES
XNY/USDT:USDT        | buy   | CLOSED   |      14.19% | ✅ No
BR/USDT:USDT         | buy   | CLOSED   |     -11.35% | ⚠️ YES
ESPORTS/USDT:USDT    | buy   | CLOSED   |      -6.62% | ⚠️ YES
NEIRO/USDT:USDT      | buy   | CLOSED   |      -4.42% | ✅ No
PUMPBTC/USDT:USDT    | sell  | CLOSED   |       3.87% | ✅ No
MBOX/USDT:USDT       | sell  | OPEN     |      -9.87% | ⚠️ YES
ZEREBRO/USDT:USDT    | sell  | CLOSED   |      -4.97% | ✅ No
Q/USDT:USDT          | sell  | CLOSED   |     -14.08% | ⚠️ YES
SPK/USDT:USDT        | sell  | CLOSED   |       6.93% | ✅ No
HOLO/USDT:USDT       | sell  | CLOSED   |     -14.77% | ⚠️ YES
ARKM/USDT:USDT       | buy   | CLOSED   |     -15.28% | ⚠️ YES
GUA/USDT:USDT        | buy   | CLOSED   |      13.53% | ✅ No
COMP/USDT:USDT       | buy   | CLOSED   |       8.22% | ✅ No
AIA/USDT:USDT        | buy   | CLOSED   |       3.39% | ✅ No
VELVET/USDT:USDT     | sell  | CLOSED   |      -6.01% | ⚠️ YES
FIGHT/USDT:USDT      | sell  | CLOSED   |       2.94% | ✅ No
TAKE/USDT:USDT       | buy   | CLOSED   |      -4.32% | ✅ No
XPIN/USDT:USDT       | buy   | CLOSED   |      -2.12% | ✅ No
RUNE/USDT:USDT       | buy   | CLOSED   |     -11.82% | ⚠️ YES
AKE/USDT:USDT        | buy   | CLOSED   |     -14.18% | ⚠️ YES
我踏马来了/USDT:USDT      | sell  | CLOSED   |       5.29% | ✅ No
NEIRO/USDT:USDT      | buy   | CLOSED   |      12.70% | ✅ No
EIGEN/USDT:USDT      | buy   | CLOSED   |       7.10% | ✅ No
PENGU/USDT:USDT      | buy   | CLOSED   |       3.63% | ✅ No
NEIRO/USDT:USDT      | buy   | CLOSED   |      -1.90% | ✅ No
TAC/USDT:USDT        | buy   | CLOSED   |      -2.97% | ✅ No
BULLA/USDT:USDT      | sell  | CLOSED   |       4.92% | ✅ No
VVV/USDT:USDT        | sell  | CLOSED   |       6.63% | ✅ No
GUN/USDT:USDT        | sell  | CLOSED   |       5.50% | ✅ No
STABLE/USDT:USDT     | sell  | CLOSED   |       5.96% | ✅ No
TAKE/USDT:USDT       | sell  | CLOSED   |      13.61% | ✅ No
GTC/USDT:USDT        | sell  | CLOSED   |       5.75% | ✅ No
UB/USDT:USDT         | sell  | CLOSED   |       4.25% | ✅ No
币安人生/USDT:USDT       | sell  | CLOSED   |      -7.39% | ⚠️ YES
SCRT/USDT:USDT       | sell  | CLOSED   |     -13.78% | ⚠️ YES
MAGMA/USDT:USDT      | sell  | CLOSED   |      15.08% | ✅ No
BANK/USDT:USDT       | sell  | CLOSED   |      12.67% | ✅ No
XNY/USDT:USDT        | sell  | CLOSED   |       1.64% | ✅ No
RDNT/USDT:USDT       | sell  | CLOSED   |      -3.38% | ✅ No
MOVE/USDT:USDT       | sell  | CLOSED   |       3.73% | ✅ No
XAN/USDT:USDT        | sell  | CLOSED   |     -15.33% | ⚠️ YES
NEIRO/USDT:USDT      | buy   | CLOSED   |      -0.71% | ✅ No
CETUS/USDT:USDT      | sell  | CLOSED   |     -14.90% | ⚠️ YES
ACT/USDT:USDT        | buy   | CLOSED   |      -2.71% | ✅ No
AIN/USDT:USDT        | buy   | CLOSED   |     -16.03% | ⚠️ YES
AVNT/USDT:USDT       | buy   | CLOSED   |       0.00% | ✅ No
我踏马来了/USDT:USDT      | sell  | CLOSED   |     -11.24% | ⚠️ YES
1000000MOG/USDT:USDT | sell  | CLOSED   |       2.93% | ✅ No
BLESS/USDT:USDT      | sell  | CLOSED   |       3.25% | ✅ No
AR/USDT:USDT         | buy   | CLOSED   |      -5.21% | ⚠️ YES
1000CAT/USDT:USDT    | buy   | CLOSED   |     -10.48% | ⚠️ YES
ZEREBRO/USDT:USDT    | sell  | CLOSED   |       8.41% | ✅ No
SOON/USDT:USDT       | buy   | CLOSED   |       2.35% | ✅ No
SKYAI/USDT:USDT      | buy   | CLOSED   |      -5.05% | ⚠️ YES
STG/USDT:USDT        | sell  | CLOSED   |      -4.44% | ✅ No
FLOCK/USDT:USDT      | sell  | CLOSED   |       4.71% | ✅ No
PNUT/USDT:USDT       | sell  | CLOSED   |      11.11% | ✅ No
NAORIS/USDT:USDT     | sell  | CLOSED   |       9.91% | ✅ No
SOON/USDT:USDT       | buy   | CLOSED   |      -4.68% | ✅ No
AIA/USDT:USDT        | sell  | CLOSED   |       5.62% | ✅ No
AVNT/USDT:USDT       | buy   | CLOSED   |      -2.64% | ✅ No
Q/USDT:USDT          | sell  | CLOSED   |      -3.50% | ✅ No
NEWT/USDT:USDT       | sell  | CLOSED   |       3.69% | ✅ No
PLAY/USDT:USDT       | buy   | CLOSED   |       4.22% | ✅ No
CROSS/USDT:USDT      | buy   | CLOSED   |       4.19% | ✅ No
APR/USDT:USDT        | buy   | CLOSED   |       8.06% | ✅ No
PHA/USDT:USDT        | buy   | OPEN     |      -8.36% | ⚠️ YES
AVAAI/USDT:USDT      | sell  | CLOSED   |      -6.78% | ⚠️ YES
SPK/USDT:USDT        | buy   | CLOSED   |      -4.65% | ✅ No
SHELL/USDT:USDT      | buy   | OPEN     |      -1.04% | ✅ No
MOVR/USDT:USDT       | buy   | OPEN     |      -8.91% | ⚠️ YES
COOKIE/USDT:USDT     | sell  | CLOSED   |      -4.75% | ✅ No
BCH/USDT:USDT        | buy   | CLOSED   |     -14.80% | ⚠️ YES
UB/USDT:USDT         | buy   | CLOSED   |     -12.80% | ⚠️ YES
EIGEN/USDT:USDT      | buy   | CLOSED   |     -14.43% | ⚠️ YES
BANK/USDT:USDT       | buy   | CLOSED   |      -9.59% | ⚠️ YES
BULLA/USDT:USDT      | buy   | CLOSED   |     -14.82% | ⚠️ YES
D/USDT:USDT          | buy   | CLOSED   |      -6.18% | ⚠️ YES
Q/USDT:USDT          | sell  | CLOSED   |      -6.85% | ⚠️ YES
BOME/USDT:USDT       | sell  | CLOSED   |      -4.08% | ✅ No
ICNT/USDT:USDT       | sell  | CLOSED   |       7.41% | ✅ No
STG/USDT:USDT        | sell  | CLOSED   |       2.97% | ✅ No
MAGMA/USDT:USDT      | sell  | CLOSED   |       9.34% | ✅ No
TRIA/USDT:USDT       | buy   | CLOSED   |      11.15% | ✅ No
ERA/USDT:USDT        | buy   | OPEN     |      -9.86% | ⚠️ YES
TAC/USDT:USDT        | buy   | CLOSED   |       8.97% | ✅ No
AERO/USDT:USDT       | buy   | CLOSED   |      18.84% | ✅ No
UB/USDT:USDT         | sell  | CLOSED   |      -0.73% | ✅ No
Q/USDT:USDT          | sell  | CLOSED   |      -3.93% | ✅ No
ESPORTS/USDT:USDT    | sell  | CLOSED   |      11.76% | ✅ No
FARTCOIN/USDT:USDT   | sell  | CLOSED   |      -6.99% | ⚠️ YES
BAN/USDT:USDT        | sell  | CLOSED   |      -3.54% | ✅ No
PENGU/USDT:USDT      | buy   | CLOSED   |      14.56% | ✅ No
AR/USDT:USDT         | sell  | CLOSED   |      -4.34% | ✅ No
ON/USDT:USDT         | sell  | CLOSED   |      -3.78% | ✅ No
SOL/USDT:USDT        | buy   | CLOSED   |       4.08% | ✅ No
1000RATS/USDT:USDT   | buy   | CLOSED   |      18.90% | ✅ No
LUMIA/USDT:USDT      | buy   | CLOSED   |       6.72% | ✅ No
PEOPLE/USDT:USDT     | buy   | CLOSED   |       3.86% | ✅ No
ACT/USDT:USDT        | buy   | CLOSED   |       5.54% | ✅ No
ATOM/USDT:USDT       | buy   | CLOSED   |     -14.69% | ⚠️ YES
FIS/USDT:USDT        | buy   | CLOSED   |      -0.53% | ✅ No
BTR/USDT:USDT        | buy   | CLOSED   |      -8.08% | ⚠️ YES
DOGE/USDT:USDT       | buy   | CLOSED   |       4.30% | ✅ No
SXT/USDT:USDT        | buy   | OPEN     |      -9.65% | ⚠️ YES
SAPIEN/USDT:USDT     | buy   | CLOSED   |       3.94% | ✅ No
NEIRO/USDT:USDT      | buy   | CLOSED   |      11.55% | ✅ No
CELR/USDT:USDT       | buy   | CLOSED   |       5.21% | ✅ No
CHR/USDT:USDT        | buy   | CLOSED   |       9.92% | ✅ No
1000CAT/USDT:USDT    | buy   | CLOSED   |       5.19% | ✅ No
STBL/USDT:USDT       | buy   | CLOSED   |       8.94% | ✅ No
TST/USDT:USDT        | buy   | CLOSED   |       9.95% | ✅ No
FORM/USDT:USDT       | buy   | CLOSED   |     -15.90% | ⚠️ YES
CYS/USDT:USDT        | buy   | CLOSED   |     -18.34% | ⚠️ YES
FIGHT/USDT:USDT      | buy   | CLOSED   |     -14.90% | ⚠️ YES
ZEC/USDT:USDT        | buy   | CLOSED   |       3.45% | ✅ No
AIXBT/USDT:USDT      | buy   | CLOSED   |       4.73% | ✅ No
ZEN/USDT:USDT        | buy   | CLOSED   |      -0.19% | ✅ No
PENGU/USDT:USDT      | buy   | CLOSED   |      32.92% | ✅ No
W/USDT:USDT          | buy   | CLOSED   |     -17.28% | ⚠️ YES
PORT3/USDT:USDT      | buy   | CLOSED   |      -2.70% | ✅ No
AIOT/USDT:USDT       | buy   | CLOSED   |     -16.32% | ⚠️ YES
TRIA/USDT:USDT       | buy   | CLOSED   |       3.55% | ✅ No
ACU/USDT:USDT        | buy   | CLOSED   |      12.21% | ✅ No
C98/USDT:USDT        | buy   | CLOSED   |       0.92% | ✅ No
SPX/USDT:USDT        | buy   | CLOSED   |      10.72% | ✅ No
NOT/USDT:USDT        | buy   | CLOSED   |       3.89% | ✅ No
COLLECT/USDT:USDT    | buy   | CLOSED   |     -13.23% | ⚠️ YES
H/USDT:USDT          | buy   | CLOSED   |       7.83% | ✅ No
EUL/USDT:USDT        | buy   | CLOSED   |       5.74% | ✅ No
SAPIEN/USDT:USDT     | buy   | CLOSED   |       3.24% | ✅ No
SAPIEN/USDT:USDT     | buy   | CLOSED   |      -7.06% | ⚠️ YES
FARTCOIN/USDT:USDT   | buy   | CLOSED   |       3.30% | ✅ No
GTC/USDT:USDT        | sell  | CLOSED   |      -4.87% | ✅ No
GIGGLE/USDT:USDT     | sell  | CLOSED   |       4.20% | ✅ No
GRASS/USDT:USDT      | sell  | CLOSED   |       5.96% | ✅ No
RIVER/USDT:USDT      | buy   | CLOSED   |     -15.24% | ⚠️ YES
BAN/USDT:USDT        | buy   | CLOSED   |      -0.52% | ✅ No
AIXBT/USDT:USDT      | buy   | CLOSED   |       2.54% | ✅ No
XAN/USDT:USDT        | buy   | CLOSED   |       1.69% | ✅ No
PHB/USDT:USDT        | buy   | CLOSED   |      -2.60% | ✅ No
AIOT/USDT:USDT       | buy   | CLOSED   |       0.00% | ✅ No
C/USDT:USDT          | buy   | CLOSED   |      -7.14% | ⚠️ YES
MOODENG/USDT:USDT    | buy   | CLOSED   |      -0.81% | ✅ No
XPL/USDT:USDT        | buy   | CLOSED   |       5.85% | ✅ No
KMNO/USDT:USDT       | sell  | CLOSED   |       5.65% | ✅ No
1000PEPE/USDT:USDT   | buy   | CLOSED   |      -4.75% | ✅ No
ICNT/USDT:USDT       | sell  | CLOSED   |       0.53% | ✅ No
1000CAT/USDT:USDT    | sell  | OPEN     |       6.17% | ✅ No
ETHW/USDT:USDT       | sell  | OPEN     |      -6.54% | ⚠️ YES
COLLECT/USDT:USDT    | sell  | CLOSED   |      -1.05% | ✅ No
GRASS/USDT:USDT      | sell  | CLOSED   |      -3.99% | ✅ No
BAN/USDT:USDT        | buy   | CLOSED   |      13.93% | ✅ No
SPX/USDT:USDT        | buy   | CLOSED   |      -4.41% | ✅ No
AKE/USDT:USDT        | sell  | CLOSED   |       5.73% | ✅ No
PENGU/USDT:USDT      | sell  | CLOSED   |       5.42% | ✅ No
EDU/USDT:USDT        | sell  | CLOSED   |      21.17% | ✅ No
IR/USDT:USDT         | sell  | CLOSED   |     -12.16% | ⚠️ YES
BOME/USDT:USDT       | buy   | CLOSED   |      27.42% | ✅ No
PROVE/USDT:USDT      | sell  | CLOSED   |      -4.17% | ✅ No
ENJ/USDT:USDT        | sell  | CLOSED   |      -5.50% | ⚠️ YES
SKYAI/USDT:USDT      | sell  | CLOSED   |     -12.60% | ⚠️ YES
HUMA/USDT:USDT       | buy   | CLOSED   |      -7.02% | ⚠️ YES
MAGMA/USDT:USDT      | sell  | CLOSED   |       3.95% | ✅ No
RDNT/USDT:USDT       | sell  | CLOSED   |      -3.38% | ✅ No
PLAY/USDT:USDT       | sell  | CLOSED   |       9.43% | ✅ No
SUPER/USDT:USDT      | sell  | CLOSED   |     -14.72% | ⚠️ YES
GWEI/USDT:USDT       | sell  | CLOSED   |     -13.79% | ⚠️ YES
GTC/USDT:USDT        | sell  | CLOSED   |       6.78% | ✅ No
ORDI/USDT:USDT       | sell  | CLOSED   |       6.25% | ✅ No
PHB/USDT:USDT        | sell  | CLOSED   |       5.23% | ✅ No
TRU/USDT:USDT        | sell  | CLOSED   |       2.51% | ✅ No
FHE/USDT:USDT        | sell  | CLOSED   |       2.87% | ✅ No
BULLA/USDT:USDT      | sell  | CLOSED   |      -1.00% | ✅ No
SWARMS/USDT:USDT     | sell  | CLOSED   |       9.00% | ✅ No
PORT3/USDT:USDT      | sell  | CLOSED   |      -2.70% | ✅ No
AIOT/USDT:USDT       | buy   | CLOSED   |      -3.19% | ✅ No
TAC/USDT:USDT        | buy   | CLOSED   |      -1.88% | ✅ No
SPX/USDT:USDT        | buy   | CLOSED   |      -8.96% | ⚠️ YES
IMX/USDT:USDT        | sell  | CLOSED   |       5.06% | ✅ No
C/USDT:USDT          | sell  | CLOSED   |      -3.88% | ✅ No
1000CHEEMS/USDT:USDT | buy   | CLOSED   |      -4.97% | ✅ No
ONE/USDT:USDT        | buy   | CLOSED   |       4.83% | ✅ No
RIVER/USDT:USDT      | buy   | CLOSED   |      11.08% | ✅ No
SSV/USDT:USDT        | buy   | CLOSED   |     -14.42% | ⚠️ YES
ARIA/USDT:USDT       | buy   | CLOSED   |       3.95% | ✅ No
1000RATS/USDT:USDT   | buy   | CLOSED   |       0.00% | ✅ No
1000000MOG/USDT:USDT | buy   | CLOSED   |       1.68% | ✅ No
FLUID/USDT:USDT      | buy   | CLOSED   |      -3.85% | ✅ No
FIGHT/USDT:USDT      | buy   | CLOSED   |       2.95% | ✅ No
PLUME/USDT:USDT      | buy   | CLOSED   |      11.70% | ✅ No
Q/USDT:USDT          | buy   | CLOSED   |       4.66% | ✅ No
TAKE/USDT:USDT       | buy   | CLOSED   |       7.79% | ✅ No
UB/USDT:USDT         | buy   | CLOSED   |       4.26% | ✅ No
EIGEN/USDT:USDT      | buy   | CLOSED   |     -16.76% | ⚠️ YES
CROSS/USDT:USDT      | buy   | CLOSED   |     -16.69% | ⚠️ YES
BANK/USDT:USDT       | buy   | CLOSED   |     -43.06% | ⚠️ YES
AERO/USDT:USDT       | buy   | CLOSED   |      13.19% | ✅ No
